% Leaf Catchment (Mississippi, USA) 1948/10/10 - 1988/09/30
% For more details see:
% Sorooshian, S., Gupta, V., Fulton, J. (1983). Evaluation of maximum likelihood parameter estimation techniques for conceptual rainfall-runoff models: 
% Influence of calibration data variability and length on model credibility. Water Resour. Res. 19, 251–259. 
%
% Rainfall (mm/day), Evaporation (mm/day), Flow (mm/day)
0.0000	4.6004	0.2900
0.0000	4.3092	0.2448
0.0000	4.3286	0.2134
0.0000	4.7777	0.1933
0.0000	2.9110	0.1833
0.0000	3.5714	0.1745
1.3518	1.4499	0.1720
0.0000	4.6986	0.1669
0.0000	4.2770	0.1644
12.5646	2.2313	0.1619
23.6461	0.6898	1.2677
0.0000	4.3483	2.3849
0.0000	4.2969	1.4309
0.0000	2.8019	0.8736
0.0000	3.4152	0.5699
0.0000	3.4890	0.3929
4.7483	1.3606	0.3138
0.0000	3.7000	0.2699
0.0000	3.4830	0.2510
0.0000	2.6360	0.2347
0.0000	3.2378	0.2234
0.0000	2.5811	0.2134
0.0000	3.1544	0.2084
0.5374	1.5535	0.2008
0.0000	1.7884	0.1983
0.0000	1.7984	0.1933
0.0000	2.7432	0.1908
0.0000	3.4122	0.1908
0.0000	3.4584	0.1858
0.0000	2.1924	0.1858
1.6709	1.3136	0.1807
7.0192	0.4878	0.1858
1.1277	3.1253	0.1908
0.0000	0.8816	0.1958
0.0000	2.3354	0.2059
28.6708	1.0315	0.2134
0.1130	2.9212	0.4619
0.0000	2.4237	0.6615
0.0000	1.9250	0.5335
22.0429	0.6348	0.4971
0.0571	2.4984	0.6803
0.0000	1.4707	0.5510
0.3167	1.2746	0.4406
0.0107	0.9586	0.3602
0.0000	0.7844	0.3201
0.0000	1.3233	0.2962
46.2152	0.3135	0.4393
0.0000	1.4114	2.4602
42.5345	0.6293	2.6861
15.0519	2.1522	7.3554
0.0000	2.7660	7.4809
30.9247	0.8546	6.1504
3.4821	0.3615	7.8198
8.7501	0.4088	6.6525
0.0000	1.8430	5.1839
0.0000	2.2848	3.6903
83.5852	0.2455	5.8366
17.5263	0.2235	13.9326
44.7221	0.5125	16.1920
0.0000	1.3890	21.3383
0.0000	1.5948	24.4762
0.0000	1.8275	23.4721
0.7121	0.7921	11.7862
1.0995	1.9269	4.6191
0.0000	0.8466	3.1254
8.8485	0.8221	2.3849
0.0000	1.7861	2.0083
8.6796	0.1750	2.0711
0.0000	1.7624	2.4476
0.0000	2.0981	2.0083
0.0000	1.8024	1.5188
0.0000	1.6625	1.2803
0.0000	0.6521	1.1422
0.0000	0.2817	1.0770
1.3435	0.4931	1.0104
0.4773	1.0240	0.9665
23.1415	0.2797	1.0770
0.4285	0.4038	2.0711
10.4273	0.1272	2.5104
0.8028	0.6610	3.1254
0.0000	1.6050	2.7614
0.0000	1.0438	2.3849
0.0000	0.8913	1.8200
0.0000	1.0882	1.3431
2.6109	0.7357	1.1422
18.7576	0.5945	2.1966
0.0000	0.5893	2.4476
0.0000	0.8299	2.1966
3.9206	0.8568	2.0711
20.8507	0.6943	2.9748
0.0000	1.1605	3.7530
0.0000	1.2924	3.4267
0.0000	1.0630	2.9748
0.0000	0.8928	2.3849
8.1165	0.6771	1.4937
58.5875	0.5310	1.3431
15.6484	0.4638	2.6359
0.0000	1.2404	4.5187
0.0000	0.8715	5.9245
0.0000	1.3056	6.3513
0.0000	1.9125	4.9204
0.0000	2.1753	3.0501
0.0000	1.5181	2.2593
0.0000	0.7256	1.6318
0.0840	0.4653	1.2527
0.0000	0.7301	1.0983
0.0000	1.9628	1.0318
3.8395	1.4990	0.9665
17.1777	0.1655	1.2677
18.1733	0.8019	2.1589
0.0000	0.6614	3.6652
3.4258	0.8730	3.6652
32.5085	0.1723	3.6652
12.1998	0.1258	7.8198
0.1408	0.9745	7.7069
3.0871	1.1581	8.1587
2.9027	0.5273	7.3680
10.8007	0.3791	4.6191
1.6207	0.9271	4.2174
